player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Josh Hall,halljo01,2021,RS,OKC,121,51,-9.430753875933744,-3.271275735503049,-12.70202961143679,-16.1560126242594,-1.398623942672994,-17.55463656693239,-11.25979927429504,-3.011069453151308,-14.27086872744635,-.3032802870896197,-.3032802870896197,0,-10.51963979632221,-4.786548681833186,-15.30618847815539,1.184085531691496
R.J. Hampton,hamptrj01,2021,RS,DEN,456,211,-4.203090893007449,-7.432469858636781,-11.63556075164423,-9.870686517694173,-2.473649577272572,-12.34433609496675,-5.688083592379393,-6.856172613793172,-12.54425620617257,-1.059047110413184,-1.059047110413184,0,-5.578951363489788,-7.258757129446929,-12.83770849293672,.4489282908187323
Tim Hardaway Jr.,hardati02,2021,RS,DAL,1825,878,1.43655964852581,.1656749052597605,1.60223455378557,.9659174781126039,-3.533583666504808,-2.567666188392205,1.405521416078889,-.5788003194396434,.8267210966392458,1.59130105324952,1.59130105324952,0,2.578189882809605,-1.067473230837161,1.510716651972445,-.689676924748812
James Harden,hardeja01,2021,RS,HOU,610,290,6.534063506207253,-4.148359508772482,2.385703997434771,.7550547518894698,-4.119031696066508,-3.363976944177038,5.840534271131922,-4.395794793636889,1.444739477495033,.6267141880453008,.6267141880453008,0,4.186725551796405,-4.065816978032204,.1209085737642006,.990288745691608
James Harden,hardeja01,2021,RS,BRK,1525,732,8.794553293291496,-.9154412073026215,7.879112085988875,5.937622390878118,-3.585740987709155,2.351881403168963,8.610138149558491,-1.497567641144281,7.11257050841421,3.674779765819816,3.674779765819816,0,8.789541823742713,-1.575209838895321,7.214331984847392,-.2353269776922086
Maurice Harkless,harklma01,2021,RS,MIA,237,109,-4.87117740697451,-6.103576955747869,-10.97475436272238,-8.955910964172897,-1.246499985234921,-10.20241094940782,-6.046482859652136,-5.499793509674574,-11.54627636932671,-.4896138286003522,-.4896138286003522,0,-7.089225019570224,-5.787433638658468,-12.87665865822869,.0904847032059111
Jared Harper,harpeja01,2021,RS,NYK,12,5,-9.384303945663346,.0771695722236814,-9.307134373439665,-20.59865115542823,-9.256234067720277,-29.8548852231485,-12.1912270030532,-1.854731698921591,-14.04595870197479,-.0321657803913312,-.0321657803913312,0,-11.97492322285087,-6.927327997392436,-18.90225122024331,11.77274000011978
Montrezl Harrell,harremo01,2021,RS,LAL,1611,776,2.671783051938953,2.523447561961455,5.195230613900408,-2.124754632785254,-.8356774327898455,-2.9604320655751,1.82512434676596,1.895815138541884,3.720939485307845,2.555438015092831,2.555438015092831,0,.8302641253734725,2.241424788414481,3.071688913787954,-.2571522928917564
Gary Harris,harriga01,2021,RS,DEN,1182,581,-1.309766338320294,-.1315816843143072,-1.441348022634601,2.27626070875025,.7279850063264665,3.004245715076716,-.6759127458829376,.0501995527123282,-.6257131931706095,.6274576222401785,.6274576222401785,0,-1.831501015897935,-.1121265037391622,-1.943627519637097,-.359716708230654
Jalen Harris,harrija01,2021,RS,TOR,10,4,-8.940673383172065,-7.082961120893427,-16.02363450406549,19.70457750434449,-3.668948540713625,16.03562896363087,-3.597790949900344,-6.917205497176887,-10.51499644707723,-.0169497970614329,-.0169497970614329,0,-2.660047472126399,-7.94597561863919,-10.60602309076559,7.048948497276052
